,number,file_name,phage_regions,intact,questionable,incomplete
0,0.0,GCA_000008805.1_ASM880v1_genomic,2.0,1.0,0.0,1.0
1,1.0,GCA_000009105.1_ASM910v1_genomic,2.0,2.0,0.0,0.0
2,2.0,GCA_000009465.1_ASM946v1_genomic,2.0,1.0,1.0,0.0
3,3.0,GCA_000014105.1_ASM1410v1_genomic,1.0,1.0,0.0,0.0
4,4.0,GCA_000026965.1_ASM2696v1_genomic,2.0,1.0,0.0,1.0
5,5.0,GCA_000083565.1_ASM8356v1_genomic,2.0,1.0,1.0,0.0
6,6.0,GCA_000152165.1_ASM15216v1_genomic,3.0,2.0,0.0,1.0
7,7.0,GCA_000191425.1_ASM19142v1_genomic,2.0,1.0,1.0,0.0
8,8.0,GCA_000191445.1_ASM19144v1_genomic,2.0,1.0,0.0,1.0
9,9.0,GCA_000191465.1_ASM19146v1_genomic,2.0,1.0,0.0,1.0
10,10.0,GCA_000191485.1_ASM19148v1_genomic,2.0,1.0,0.0,1.0
11,11.0,GCA_000191505.1_ASM19150v1_genomic,3.0,1.0,0.0,2.0
12,12.0,GCA_000191525.1_ASM19152v1_genomic,2.0,1.0,0.0,1.0
13,13.0,GCA_000253215.1_ASM25321v1_genomic,4.0,3.0,0.0,1.0
14,14.0,GCA_000626595.1_ASM62659v1_genomic,2.0,2.0,0.0,0.0
15,15.0,GCA_000787195.2_ASM78719v2_genomic,2.0,1.0,1.0,0.0
16,16.0,GCA_000800235.1_ASM80023v1_genomic,2.0,1.0,1.0,0.0
17,17.0,GCA_000800275.1_ASM80027v1_genomic,2.0,1.0,1.0,0.0
18,18.0,GCA_000800315.1_ASM80031v1_genomic,2.0,1.0,1.0,0.0
19,19.0,GCA_000800355.1_ASM80035v1_genomic,2.0,1.0,1.0,0.0
20,20.0,GCA_000800415.1_ASM80041v1_genomic,2.0,1.0,1.0,0.0
21,21.0,GCA_000816165.1_ASM81616v1_genomic,2.0,1.0,0.0,1.0
22,22.0,GCA_001029815.1_ASM102981v1_genomic,2.0,1.0,1.0,0.0
23,23.0,GCA_001029835.1_ASM102983v1_genomic,2.0,1.0,0.0,1.0
24,24.0,GCA_001697105.1_ASM169710v1_genomic,2.0,1.0,0.0,1.0
25,25.0,GCA_001697125.1_ASM169712v1_genomic,1.0,1.0,0.0,0.0
26,26.0,GCA_001697165.1_ASM169716v1_genomic,3.0,2.0,1.0,0.0
27,27.0,GCA_001697205.1_ASM169720v1_genomic,3.0,2.0,1.0,0.0
28,28.0,GCA_001697305.1_ASM169730v1_genomic,2.0,1.0,1.0,0.0
29,29.0,GCA_001697325.1_ASM169732v1_genomic,2.0,1.0,1.0,0.0
30,30.0,GCA_001697345.1_ASM169734v1_genomic,1.0,1.0,0.0,0.0
31,31.0,GCA_001697365.1_ASM169736v1_genomic,1.0,1.0,0.0,0.0
32,32.0,GCA_001697385.1_ASM169738v1_genomic,2.0,1.0,1.0,0.0
33,33.0,GCA_001697405.1_ASM169740v1_genomic,2.0,1.0,1.0,0.0
